duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.650000,0.750000,0.000000,0.000000,0.000000,-22.946081,98.844574,-141.206451,66.843269,0.000000,0.000000,0.000000,0.000000,-90.885246,362.149597,-483.665009,217.884399,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,0.750000,-0.000000,-1.938924,-0.000000,0.835918,-0.000045,-0.151363,0.018152,0.000000,1.705388,-0.000000,-1.469530,-0.000062,0.379778,-0.001286,-0.043240,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,0.530330,-1.205892,-1.371027,1.039116,0.591095,-0.268273,-0.107055,0.044237,0.530330,1.205892,-1.371026,-1.039116,0.591151,0.267742,-0.106171,-0.019232,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,-0.000000,-1.705388,0.000000,1.469531,-0.000056,-0.378878,-0.001049,0.045235,0.750000,-0.000000,-1.938925,-0.000000,0.835934,-0.000118,-0.151328,0.018133,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,-0.530330,-1.205892,1.371026,1.039116,-0.591177,-0.267542,0.105592,0.019702,0.530330,-1.205892,-1.371027,1.039116,0.591023,-0.267740,-0.108389,0.045365,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,-0.750000,0.000000,1.938925,0.000000,-0.835850,-0.000549,0.152978,-0.019486,-0.000000,-1.705388,0.000000,1.469531,-0.000001,-0.379294,0.000035,0.044298,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,-0.530330,1.205892,1.371026,-1.039116,-0.591088,0.268216,0.107149,-0.044279,-0.530330,-1.205891,1.371027,1.039116,-0.591109,-0.268045,0.106908,0.018629,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,0.000000,1.705388,-0.000000,-1.469531,0.000052,0.378902,0.000974,-0.045152,-0.750000,0.000000,1.938924,-0.000000,-0.835874,-0.000330,0.152416,-0.019029,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.345404,0.530330,1.205891,-1.371027,-1.039115,0.591136,0.267851,-0.106417,-0.019010,-0.530330,1.205892,1.371026,-1.039116,-0.591145,0.268592,0.106239,-0.043536,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.650000,0.750000,-0.000000,-1.938924,-0.000000,45.891327,-141.203827,162.927124,-66.841843,0.000000,1.705388,-0.000000,-1.469530,-115.153809,409.043701,-507.719086,217.888657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
