duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.298088,0.000000,0.952426,-0.002227,5.349402,0.047279,-13.471067,-0.282578,10.470789,0.000000,-1.953001,0.007237,5.386465,-0.060881,-2.612480,0.249996,-1.429509,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.274270,0.396058,1.897720,1.722695,-3.820443,-10.700230,5.560384,21.575266,-18.564192,-0.445604,-0.625897,4.058682,2.729911,-4.946494,-4.834177,-2.726300,9.627492,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.290517,0.922409,1.400374,-3.876866,-6.150884,7.863936,11.739864,-14.061208,0.568357,-0.291165,1.674821,3.157257,-5.551694,-7.700275,5.888811,15.763098,-15.397454,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.271112,0.923174,-1.392404,-3.854537,6.142128,7.602784,-11.764093,-12.907212,17.551937,0.289869,1.689039,-3.121688,-5.638497,7.595964,6.073844,-15.545588,9.316713,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.303104,0.405364,-1.904467,1.643607,3.914765,-10.333304,-5.668530,20.402470,-9.482865,0.450742,-0.588120,-4.120656,2.629311,5.187865,-4.831655,2.138369,-0.893884,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.301733,-0.000000,-0.957632,0.002537,-5.259267,-0.048698,13.144403,0.281425,-10.075125,-0.000000,-1.959493,0.007139,5.406920,-0.059617,-2.667451,0.236719,-1.340540,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.271020,-0.402804,-1.902148,-1.668078,3.880708,10.478613,-5.607768,-21.009514,18.115425,-0.449354,-0.599035,4.095166,2.647604,-5.049872,-4.801597,-2.603332,9.677820,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.290517,-0.921641,-1.402137,3.844837,6.177130,-7.647770,-11.831613,13.347340,0.136503,-0.292459,1.676497,3.152959,-5.562547,-7.681113,5.890903,15.758809,-15.397423,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.274353,-0.923935,1.390705,3.886670,-6.116718,-7.819770,11.674443,13.623036,-18.013714,0.288570,1.687367,-3.125721,-5.627611,7.612445,6.070703,-15.548518,9.272527,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.299472,-0.398611,1.900200,-1.698683,-3.856245,10.556628,5.627728,-20.972269,9.868975,0.447039,-0.615050,-4.084692,2.712905,5.087137,-4.865182,2.256514,-0.955650,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
