duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.671756,0.500000,0.000000,0.000000,0.000000,-4.529103,2.517174,5.271895,-4.082172,0.000000,0.000000,0.000000,0.000000,8.338172,-7.562703,-6.411842,6.501151,0.000000,0.000000,0.000000,0.000000,3.107465,-2.483025,-2.692802,2.499987,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,0.154508,-1.227711,-0.255889,2.056775,0.371791,-5.007739,5.139232,-1.704908,0.475528,1.329561,-1.258702,-4.260657,1.012318,9.950962,-10.944117,3.613930,0.200000,0.637755,-0.156955,-1.362881,0.270158,3.553646,-4.017566,1.354331,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,-0.404509,-0.313633,0.515639,-0.535624,0.660066,0.548283,-0.957155,0.306328,0.293893,-1.428035,0.013487,2.770184,-2.056144,-1.751748,2.512961,-0.760028,0.400000,0.101378,0.219197,0.694497,-0.900376,-0.490199,1.033267,-0.357813,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,-0.404508,0.424070,0.841737,0.092453,-0.685791,-0.306081,0.676818,-0.233186,-0.293893,-0.362791,0.211518,-0.840969,0.930326,0.989463,-1.417157,0.437045,0.600000,0.363110,-0.176740,-0.222708,0.622508,0.214679,-0.781975,0.308951,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,0.154509,0.942434,-0.359100,-0.690084,0.397539,0.222388,-0.400352,0.146701,-0.475528,0.036389,0.961807,0.646936,-0.709647,-0.599272,0.601647,-0.127164,0.800000,0.354480,0.209648,-0.120181,-0.674418,-0.016331,0.657535,-0.277859,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,0.500000,-0.000002,-0.800771,0.000003,-0.008963,0.001044,0.289453,-0.146681,0.000000,1.145769,-0.000002,-1.222874,-0.000774,0.620601,-0.003688,-0.127154,1.000000,0.000001,-0.697837,0.000000,0.773412,-0.000715,-0.649077,0.277863,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671755,0.154508,-0.942431,-0.359097,0.690077,0.393426,-0.212187,-0.419559,0.233121,0.475528,0.036392,-0.961801,0.646933,0.701884,-0.580890,-0.637825,0.436972,0.800000,-0.354482,0.209647,0.120181,-0.671574,0.009317,0.670796,-0.308936,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,-0.404508,-0.424076,0.841734,-0.092442,-0.727110,0.406616,0.483292,-0.306313,0.293893,-0.362799,-0.211525,-0.840960,-1.006425,1.174650,1.060718,-0.759928,0.600000,-0.363106,-0.176737,0.222705,0.650868,-0.283691,-0.649153,0.357748,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.671755,-0.404508,0.313643,0.515643,0.535595,0.249804,0.450259,-2.877334,1.704606,-0.293893,-1.428021,-0.013478,2.770149,1.300792,0.086799,-6.048378,3.613156,0.400000,-0.101384,0.219194,-0.694483,-0.618911,-0.194977,2.350654,-1.354118,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.671756,0.154508,1.227710,-0.255856,-2.056827,-3.701326,14.921709,-13.927654,4.083831,-0.475528,1.329562,1.258761,-4.260786,-8.511263,28.202108,-24.159155,6.501451,0.200000,-0.637755,-0.156977,1.362926,3.064703,-10.355301,9.063953,-2.500415,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
