duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.629752,0.800000,-0.000000,-0.446493,0.000008,0.794060,0.000011,-1.312136,0.683410,-0.000000,2.134967,-0.000000,-1.574534,-0.000077,1.750630,-0.000455,-0.626607,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.488233,0.692820,-0.250458,-0.231069,-0.791764,-1.037533,0.733751,1.700767,-1.172023,1.100000,1.364410,0.092923,1.916407,0.031944,-3.469815,-2.763427,3.901065,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.283115,0.400000,-1.144850,-1.253938,0.558948,2.060952,-0.151754,-2.301935,1.159892,1.905256,1.764560,-1.175289,-4.966370,-2.427741,7.952038,10.600095,-15.427782,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.283115,-0.000000,-1.559202,0.000000,1.987364,0.000168,-2.109859,0.004702,1.158076,2.200000,0.000000,-4.324227,0.000005,9.320755,0.004784,-19.957874,15.409466,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.488233,-0.400000,-1.144850,1.253938,0.558943,-2.060890,-0.150681,2.304307,-1.171723,1.905256,-1.764560,-1.175289,4.966351,-2.429075,-7.962733,10.568435,-3.900696,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.629752,-0.692820,-0.250458,0.231069,-0.791751,1.037573,0.733804,-1.700466,0.683373,1.100000,-1.364409,0.092922,-1.916383,0.031967,3.470259,-2.763402,0.626914,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.629752,-0.800000,0.000000,0.446493,-0.000008,-0.794072,0.000023,1.312074,-0.683388,-0.000000,-2.134967,-0.000000,1.574534,0.000051,-1.750519,0.000325,0.626663,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.488233,-0.692820,0.250458,0.231069,0.791765,1.037549,-0.733839,-1.700614,1.171925,-1.100000,-1.364410,-0.092923,-1.916406,-0.032049,3.470346,2.762570,-3.900533,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.283115,-0.400000,1.144850,1.253938,-0.558949,-2.060920,0.151480,2.303022,-1.160991,-1.905256,-1.764559,1.175288,4.966368,2.428867,-7.961528,-10.572266,15.399892,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.283115,0.000000,1.559202,-0.000001,-1.987363,0.000050,2.108031,0.000622,-1.163460,-2.200000,-0.000001,4.324226,-0.000002,-9.321148,-0.001049,19.946419,-15.398733,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.488233,0.400000,1.144849,-1.253938,-0.558940,2.060841,0.150956,-2.304734,1.171954,-1.905256,1.764560,1.175286,-4.966349,2.429037,7.962840,-10.568789,3.900912,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.629752,0.692820,0.250458,-0.231069,0.791749,-1.037578,-0.733798,1.700441,-0.683361,-1.100000,1.364409,-0.092922,1.916384,-0.031973,-3.470254,2.763348,-0.626902,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
