duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.192770,0.800000,-0.000000,-0.127770,0.000001,0.065758,0.000001,-0.030244,0.008323,0.000000,1.141262,-0.000000,-0.248153,-0.000000,0.077170,-0.000002,-0.007703,0.000000,0.259378,-0.000000,-0.056398,-0.000000,0.017539,-0.000001,-0.001751,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.922285,0.692820,-0.128758,-0.062683,-0.123055,-0.085298,0.032235,0.039254,-0.014386,1.100000,0.707795,0.030953,0.303957,0.002656,-0.152986,-0.064326,0.048340,0.250000,0.160863,0.007035,0.069081,0.000604,-0.034770,-0.014620,0.010986,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.527747,0.400000,-0.614257,-0.361177,0.088054,0.169192,-0.007524,-0.053613,0.014510,1.905256,0.946120,-0.335395,-0.772697,-0.196197,0.354191,0.248290,-0.195033,0.433013,0.215027,-0.076226,-0.175613,-0.044585,0.080477,0.056462,-0.044343,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.527747,-0.000000,-0.836322,0.000000,0.306043,-0.000011,-0.092367,-0.000081,0.014559,2.200000,0.000000,-1.244780,0.000001,0.772384,0.000178,-0.471944,0.194885,0.500000,0.000000,-0.282905,0.000000,0.175547,0.000016,-0.107225,0.044273,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.922285,-0.400000,-0.614257,0.361177,0.088053,-0.169194,-0.007513,0.053614,-0.014384,1.905256,-0.946121,-0.335395,0.772694,-0.196280,-0.354521,0.247735,-0.048333,0.433013,-0.215027,-0.076226,0.175612,-0.044608,-0.080576,0.056307,-0.010985,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
1.192770,-0.692820,-0.128758,0.062683,-0.123052,0.085297,0.032240,-0.039255,0.008324,1.100000,-0.707795,0.030953,-0.303953,0.002659,0.152998,-0.064323,0.007704,0.250000,-0.160862,0.007035,-0.069080,0.000604,0.034773,-0.014619,0.001751,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
1.192770,-0.800000,0.000000,0.127770,-0.000001,-0.065758,-0.000001,0.030244,-0.008324,-0.000000,-1.141261,-0.000000,0.248153,0.000001,-0.077170,0.000002,0.007703,-0.000000,-0.259378,-0.000000,0.056398,-0.000000,-0.017538,0.000000,0.001751,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.922284,-0.692820,0.128758,0.062684,0.123055,0.085296,-0.032230,-0.039258,0.014387,-1.100000,-0.707795,-0.030954,-0.303957,-0.002654,0.152981,0.064332,-0.048342,-0.250000,-0.160863,-0.007035,-0.069081,-0.000603,0.034769,0.014621,-0.010987,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.527747,-0.400000,0.614257,0.361177,-0.088054,-0.169190,0.007514,0.053629,-0.014519,-1.905256,-0.946120,0.335395,0.772697,0.196198,-0.354201,-0.248271,0.195021,-0.433013,-0.215027,0.076226,0.175613,0.044612,-0.080595,-0.056275,0.044241,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.527747,0.000000,0.836322,-0.000000,-0.306043,0.000004,0.092402,0.000023,-0.014529,-2.200000,-0.000000,1.244780,-0.000000,-0.772402,-0.000092,0.471811,-0.194819,-0.500000,-0.000000,0.282905,-0.000000,-0.175555,0.000022,0.107163,-0.044240,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.922285,0.400000,0.614257,-0.361177,-0.088052,0.169192,0.007520,-0.053620,0.014385,-1.905256,0.946121,0.335394,-0.772694,0.196282,0.354518,-0.247735,0.048332,-0.433013,0.215027,0.076226,-0.175612,0.044610,0.080570,-0.056301,0.010984,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
1.192770,0.692820,0.128758,-0.062683,0.123052,-0.085298,-0.032238,0.039254,-0.008324,-1.100000,0.707795,-0.030953,0.303953,-0.002659,-0.152998,0.064323,-0.007704,-0.250000,0.160862,-0.007035,0.069080,-0.000604,-0.034773,0.014619,-0.001751,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
