duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
0.837169,0.000000,0.339126,-0.000282,0.241489,0.000755,-0.077087,-0.000590,0.007602,-0.000000,-0.695397,0.000918,0.243162,-0.000978,-0.014952,0.000510,-0.001037,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.770279,0.396058,0.675714,0.218408,-0.172467,-0.171999,0.031837,0.043955,-0.013466,-0.445604,-0.222861,0.514572,0.123237,-0.079513,-0.027657,-0.005568,0.006990,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.815908,0.922409,0.498626,-0.491521,-0.277670,0.126404,0.067189,-0.028649,0.000410,-0.291165,0.596347,0.400287,-0.250621,-0.123772,0.033699,0.032130,-0.011175,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.761410,0.923174,-0.495788,-0.488690,0.277275,0.122207,-0.067332,-0.026303,0.012736,0.289869,0.601409,-0.395777,-0.254539,0.122094,0.034773,-0.031691,0.006765,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.851258,0.405364,-0.678116,0.208382,0.176725,-0.166097,-0.032445,0.041581,-0.006881,0.450742,-0.209410,-0.522429,0.118695,0.083392,-0.027660,0.004365,-0.000651,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.847406,-0.000000,-0.340980,0.000322,-0.237420,-0.000778,0.075217,0.000589,-0.007316,0.000000,-0.697709,0.000905,0.244085,-0.000957,-0.015270,0.000486,-0.000974,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.761152,-0.402804,-0.677291,-0.211483,0.175187,0.168434,-0.032101,-0.042809,0.013142,-0.449354,-0.213296,0.519197,0.119521,-0.081167,-0.027498,-0.005285,0.007015,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.815907,-0.921641,-0.499253,0.487460,0.278855,-0.122926,-0.067725,0.027211,0.000096,-0.292459,0.596943,0.399742,-0.251111,-0.123469,0.033726,0.032104,-0.011169,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.770511,-0.923935,0.495183,0.492764,-0.276128,-0.125699,0.066830,0.027749,-0.013066,0.288570,0.600814,-0.396288,-0.254048,0.122364,0.034743,-0.031682,0.006727,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
0.841058,-0.398611,0.676597,-0.215365,-0.174083,0.169688,0.032207,-0.042738,0.007160,0.447039,-0.218999,-0.517870,0.122469,0.081771,-0.027847,0.004599,-0.000694,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
