id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,1,twr,rangingSuccessRate6
70,1,twr,rangingPerSec6
71,1,twr,rangingSuccessRate7
72,1,twr,rangingPerSec7
73,2,oa,front
74,2,oa,back
75,2,oa,up
76,2,oa,left
77,2,oa,right
78,7,usd,spiWrBps
79,7,usd,spiReBps
80,7,usd,fatWrBps
81,2,rpm,m1
82,2,rpm,m2
83,2,rpm,m3
84,2,rpm,m4
85,1,colorLedBot,deckTemp
86,1,colorLedBot,throttlePct
87,2,colorLedBot,ledCurR
88,2,colorLedBot,ledCurG
89,2,colorLedBot,ledCurB
90,2,colorLedBot,ledCurW
91,1,colorLedTop,deckTemp
92,1,colorLedTop,throttlePct
93,2,colorLedTop,ledCurR
94,2,colorLedTop,ledCurG
95,2,colorLedTop,ledCurB
96,2,colorLedTop,ledCurW
97,2,motor,m1
98,2,motor,m2
99,2,motor,m3
100,2,motor,m4
101,2,motor,m1_rpm
102,2,motor,m2_rpm
103,2,motor,m3_rpm
104,2,motor,m4_rpm
105,6,motor,m1req
106,6,motor,m2req
107,6,motor,m3req
108,6,motor,m4req
109,7,pm,vbat
110,2,pm,vbatMV
111,7,pm,extVbat
112,2,pm,extVbatMV
113,7,pm,extCurr
114,7,pm,chargeCurrent
115,4,pm,state
116,1,pm,batteryLevel
117,1,radio,rssi
118,1,radio,isConnected
119,2,radio,numRxBc
120,2,radio,numRxUc
121,5,gyro,xRaw
122,5,gyro,yRaw
123,5,gyro,zRaw
124,7,gyro,xVariance
125,7,gyro,yVariance
126,7,gyro,zVariance
127,7,gyro,x
128,7,gyro,y
129,7,gyro,z
130,3,colAv,latency
131,7,ext_pos,X
132,7,ext_pos,Y
133,7,ext_pos,Z
134,7,locSrv,x
135,7,locSrv,y
136,7,locSrv,z
137,7,locSrv,qx
138,7,locSrv,qy
139,7,locSrv,qz
140,7,locSrv,qw
141,2,locSrvZ,tick
142,2,crtp,rxRate
143,2,crtp,txRate
144,7,extrx,thrust
145,7,extrx,roll
146,7,extrx,pitch
147,7,extrx,rollRate
148,7,extrx,pitchRate
149,7,extrx,yawRate
150,7,extrx,zVel
151,1,extrx,AltHold
152,1,extrx,Arm
153,2,extrx_raw,ch0
154,2,extrx_raw,ch1
155,2,extrx_raw,ch2
156,2,extrx_raw,ch3
157,2,extrx_raw,ch4
158,2,extrx_raw,ch5
159,2,extrx_raw,ch6
160,2,extrx_raw,ch7
161,7,health,motorVarXM1
162,7,health,motorVarYM1
163,7,health,motorVarXM2
164,7,health,motorVarYM2
165,7,health,motorVarXM3
166,7,health,motorVarYM3
167,7,health,motorVarXM4
168,7,health,motorVarYM4
169,1,health,motorPass
170,7,health,batterySag
171,1,health,batteryPass
172,2,health,motorTestCount
173,3,memTst,errCntW
174,2,range,front
175,2,range,back
176,2,range,up
177,2,range,left
178,2,range,right
179,2,range,zrange
180,7,sensfusion6,qw
181,7,sensfusion6,qx
182,7,sensfusion6,qy
183,7,sensfusion6,qz
184,7,sensfusion6,gravityX
185,7,sensfusion6,gravityY
186,7,sensfusion6,gravityZ
187,7,sensfusion6,accZbase
188,1,sensfusion6,isInit
189,1,sensfusion6,isCalibrated
190,7,acc,x
191,7,acc,y
192,7,acc,z
193,7,baro,asl
194,7,baro,temp
195,7,baro,pressure
196,5,controller,ctr_yaw
197,7,controller,cmd_thrust
198,7,controller,cmd_roll
199,7,controller,cmd_pitch
200,7,controller,cmd_yaw
201,7,controller,r_roll
202,7,controller,r_pitch
203,7,controller,r_yaw
204,7,controller,accelz
205,7,controller,actuatorThrust
